t,X,Y,Z
1.56,-10.102485750407478,-6.618987162078774,32.83473839977302
1.564,-9.96141133263292,-6.400604440204129,32.7469030511193
1.568,-9.817421381601358,-6.189459519687185,32.648100522431896
1.572,-9.670951842011515,-5.985884866003351,32.53878585867247
1.576,-9.522424783087558,-5.790172700165444,32.41942533413461
1.58,-9.372248398579098,-5.602574998723689,32.29049645244383
1.584,-9.22081700676119,-5.423303493765726,32.152487946557585
1.588,-9.068511050434324,-5.252529672916599,32.00589977876525
1.592,-8.915697096924443,-5.090384779338764,31.85124314068813
1.596,-8.762727838082927,-4.9369598117320885,31.689040453279464
1.6,-8.609942090286598,-4.792305524333846,31.519825366824428
1.604,-8.457664794437726,-4.656432426918723,31.344142760940116
1.608,-8.306207015964015,-4.529310784798816,31.16254874457556
1.612,-8.15586594481862,-4.410870618823626,30.975610656011717
1.616,-8.006924895480134,-4.30100170538007,30.783907062861488
1.62,-7.859653306952596,-4.199553576392472,30.588027762069682
1.624,-7.7143067427654834,-4.106335519322566,30.38857377991306
1.6280000000000001,-7.571126890973721,-4.021116577169494,30.1861573720003
1.6320000000000001,-7.430341564157672,-3.9436255484698126,29.98140202327201
1.6360000000000001,-7.292164699423145,-3.8735509872974814,29.774942448000743
1.6400000000000001,-7.156796358401392,-3.8105412032638752,29.567424589790967
1.6440000000000001,-7.024422727249105,-3.754204261517776,29.359505621579085
1.6480000000000001,-6.895229448408793,-3.704308184331743,29.15125229303043
1.6520000000000001,-6.76935972715126,-3.6608728029467326,28.942091100683793
1.6560000000000001,-6.64689900745073,-3.623691721890636,28.732258272258417
1.6600000000000001,-6.527926243167977,-3.5925576180037355,28.52199412372361
1.6640000000000001,-6.412514472694273,-3.567266692293968,28.311528586587546
1.668,-6.300730818951396,-3.5476186699369285,28.101081207897295
1.672,-6.192636489391612,-3.533416800275864,27.89086115023876
1.676,-6.088286775997703,-3.524467856821681,27.681067191736748
1.68,-5.987731055282949,-3.5205821372529416,27.471887726054934
1.684,-5.891012788291131,-3.5215734634158613,27.263500762395868
1.688,-5.798169520596531,-3.527259181324314,27.056073925500964
1.692,-5.709232882303935,-3.5374601611598284,26.849764455650526
1.696,-5.624228588048627,-3.5520007972715892,26.644719208663712
1.7,-5.543176436996398,-3.5707090081764368,26.44107465589857
1.704,-5.4660903128435345,-3.593416236558867,26.23895688425202
1.708,-5.39297818381683,-3.619957449271033,26.038481596159837
1.712,-5.323842102673576,-3.6501711373327432,25.839754109596694
1.716,-5.2586782067015685,-3.6838993159314604,25.642869358076126
1.72,-5.197476717719104,-3.7209875244223056,25.44791189065054
1.724,-5.14022194207498,-3.761284826328054,25.254955871911225
1.728,-5.086892270648497,-3.804643809339137,25.064065081988332
1.732,-5.037460178849456,-3.8509205853136432,24.87529291655089
1.736,-4.991873455255391,-3.9000067391242177,24.688698891799355
1.74,-4.949967850257795,-3.952019136276024,24.50444413423273
1.744,-4.911704984898924,-4.0069284861927255,24.32260356442584
1.748,-4.87707365948198,-4.064667620154409,24.143231376004
1.752,-4.846060893962877,-4.125175182785682,23.966384262460718
1.756,-4.818651927950241,-4.188395632055676,23.792121417157723
1.76,-4.794830220705411,-4.2542792392780395,23.620504533324947
1.764,-4.77457745114244,-4.322782089110945,23.451597804060526
1.768,-4.7578735178280915,-4.393866079557087,23.2854679223308
1.772,-4.744696538981843,-4.467498921963678,23.122184080970317
1.776,-4.735022852475885,-4.543654141022455,22.96181797268184
1.78,-4.728827015835121,-4.622311074769674,22.804443790036323
1.784,-4.726081806237165,-4.703454874586112,22.650138225472947
1.788,-4.7267582205123455,-4.78707650519707,22.49898047129908
1.792,-4.730825475143704,-4.873172744672367,22.351052219690306
1.796,-4.738251006266994,-4.961746184426346,22.206437662690416
1.8,-4.7490004696706825,-5.052805229217867,22.065223492211405
1.804,-4.763037740795946,-5.146364097150316,21.927498900033477
1.808,-4.7803249147366795,-5.2424428196715995,21.793355577805038
1.812,-4.800822306239485,-5.34106724157414,21.662887717042704
1.816,-4.824488449703681,-5.442269020994889,21.5361920091313
1.82,-4.851280099181296,-5.546085629415312,21.413367645323852
1.824,-4.881152228377075,-5.6525603516614,21.2945163167416
1.828,-4.914058030648471,-5.761742285903665,21.179742214373977
1.832,-4.949948919005653,-5.873686343657139,21.06915202907864
1.836,-4.988774526111501,-5.988453249781376,20.96285495158144
1.84,-5.030482704281611,-6.106109542480448,20.860962672476443
1.844,-5.075025186591679,-6.226679178678392,20.763583917914467
1.848,-5.1224168658754845,-6.349973751257141,20.670814658142113
1.852,-5.1727023208673835,-6.4760152589610716,20.582791842779333
1.856,-5.225920406419387,-6.604853293394435,20.499661099766225
1.86,-5.282104903114522,-6.736526355189415,20.421571522276636
1.864,-5.341284517266828,-6.871061854006129,20.348675668718144
1.868,-5.403482880921359,-7.008476108532623,20.281129562732062
1.872,-5.468718551854182,-7.1487743464848785,20.21909269319343
1.8760000000000001,-5.537005013572379,-7.291950704606809,20.16272801421104
1.8800000000000001,-5.608350675314046,-7.437988228670261,20.112201945127403
1.8840000000000001,-5.682758872048293,-7.586858873475012,20.067684370518776
1.8880000000000001,-5.760227864475245,-7.738523502848771,20.029348640195145
1.8920000000000001,-5.840750839026038,-7.8929318896471825,19.997371569200237
1.8960000000000001,-5.924315907862826,-8.050022715753821,19.9719334378115
1.9000000000000001,-6.010906108878773,-8.209723572080193,19.953217991540136
1.9040000000000001,-6.100499405698061,-8.371950958565742,19.941412441131074
1.9080000000000001,-6.193068687675883,-8.536610284177838,19.93670746256297
1.9120000000000001,-6.288581769898448,-8.703595866911785,19.93929719704823
1.9160000000000001,-6.387001393182978,-8.87279093379082,19.94937925103298
1.92,-6.488285224077703,-9.044067620866105,19.967154696197095
1.924,-6.592385854861886,-9.217286973216762,19.992828069454177
1.928,-6.699250803545786,-9.392298944949815,20.026607372951563
1.932,-6.808822513870679,-9.568942399200226,20.06870407407033
1.936,-6.921038355308858,-9.747045108130902,20.119333105425284
1.94,-7.035830623063632,-9.926423752932669,20.17871286486497
1.944,-7.153126538069319,-10.106883923824295,20.247065215471668
1.948,-7.272848246991255,-10.288220120052472,20.324615485561395
1.952,-7.394912822225788,-10.470215749891832,20.411592468683896
1.956,-7.51923226190028,-10.652643130644936,20.508228423622658
1.96,-7.645711026210043,-10.835292328723886,20.614686962572794
1.964,-7.7742402314904675,-11.01810780433263,20.730534036143094
1.968,-7.9047468337642375,-11.200619186260301,20.855969163617335
1.972,-8.037151030424964,-11.382258679661788,20.991343302877844
1.976,-8.171356492526384,-11.562457625944461,21.136954123963616
1.98,-8.307250364782359,-11.740646502768177,21.29304600907033
1.984,-8.444703265566881,-11.916254924045282,21.45981005255033
1.988,-8.583569286914067,-12.088711639940602,21.63738406091265
1.992,-8.723685994518158,-12.257444536871452,21.825852552822994
1.996,-8.864874427733527,-12.421880637507636,22.025246759103737
2.0,-9.006939099574668,-12.581446100771435,22.235544622733936
2.004,-9.149667996716206,-12.735566221837626,22.456670798849327
2.008,-9.292832579492888,-12.883665432133466,22.688496654742313
2.012,-9.43618778189959,-13.025167299338694,22.930840269861978
2.016,-9.57947201159132,-13.159494527385544,23.183466435814086
2.02,-9.722407149883203,-13.286068956458728,23.44608665636107
2.024,-9.864698551750495,-13.40431156299545,23.71835914742205
2.028,-10.00603504582858,-13.513642459685391,23.99988883707281
2.032,-10.146088934412967,-13.613480895470728,24.29022736554581
2.036,-10.284515993459292,-13.703245255546115,24.588873085230205
2.04,-10.420955472583318,-13.782353061358698,24.895271060671796
2.044,-10.555030095060932,-13.850220970608106,25.20881306857309
2.048,-10.686346057828152,-13.906264777246452,25.52883759779325
2.052,-10.814493031481117,-13.94989941147834,25.854629849348125
2.056,-10.939044160276097,-13.980538939760853,26.185421736410234
2.06,-11.059556062129491,-13.997596564803565,26.520391884308783
2.064,-11.175568828617816,-14.000484625568532,26.858665630529636
2.068,-11.286606024977724,-13.9886145972703,27.19931502471535
2.072,-11.392199958758322,-13.961373457709236,27.54139165193038
2.076,-11.4924868341081,-13.91777795966397,27.88459248215657
2.08,-11.587200982306321,-13.857782775995014,28.227801868475925
2.084,-11.675816616700324,-13.781728263960122,28.56953488494849
2.088,-11.757849091149088,-13.68997900386665,28.908373421819356
2.092,-11.83285490002323,-13.582923799071562,29.24296618551866
